gRNA	gene	S1	S2	S3
ABCF1_-_30546354.23-P2|ABCF1_-_30546344.23-P2	ABCF1	   nan	   nan	   nan
ABCF2_+_150924287.23-P1P2|ABCF2_+_150924236.23-P1P2	ABCF2	   nan	   nan	   nan
ABCF3_-_183903991.23-P1P2|ABCF3_-_183904021.23-P1P2	ABCF3	   nan	   nan	   nan
ABCG1_-_43639282.23-P1P2|ABCG1_+_43639503.23-P1P2	ABCG1	   nan	   nan	   nan
ABCG2_+_89080044.23-P1P2|ABCG2_+_89079974.23-P1P2	ABCG2	   nan	   nan	   nan
ABCG4_+_119019794.23-P1P2|ABCG4_-_119019798.23-P1P2	ABCG4	   nan	   nan	   nan
ABCG5_+_44065865.23-P1P2|ABCG5_-_44065840.23-P1P2	ABCG5	   nan	   nan	   nan
ABCG8_+_44066166.23-P1P2|ABCG8_-_44066172.23-P1P2	ABCG8	   nan	   nan	   nan
ABHD10_-_111697914.23-P1P2|ABHD10_-_111697877.23-P1P2	ABHD10	   nan	   nan	   nan
ABHD11_-_73153094.23-P1P2|ABHD11_+_73152963.23-P1P2	ABHD11	   nan	   nan	   nan
ABHD12B_-_51338864.23-P1P2|ABHD12B_-_51338885.23-P1P2	ABHD12B	   nan	   nan	   nan
ABHD12_+_25371393.23-P1P2|ABHD12_+_25371436.23-P1P2	ABHD12	   nan	   nan	   nan
ABHD13_+_108871155.23-P1P2|ABHD13_+_108870795.23-P1P2	ABHD13	   nan	   nan	   nan
ABHD14A_+_52009255.23-P1P2|ABHD14A_+_52009194.23-P1P2	ABHD14A	   nan	   nan	   nan
ABHD14B_+_52017350.23-P2|ABHD14B_-_52016965.23-P2	ABHD14B	   nan	   nan	   nan
ABHD14B_-_52007985.23-P1|ABHD14B_-_52008040.23-P1	ABHD14B	   nan	   nan	   nan
ABHD15_-_27894008.23-P1P2|ABHD15_-_27893980.23-P1P2	ABHD15	   nan	   nan	   nan
ABHD16A_-_31670764.23-P1P2|ABHD16A_+_31670831.23-P1P2	ABHD16A	   nan	   nan	   nan
ABHD16B_-_62492870.23-P1P2|ABHD16B_+_62492837.23-P1P2	ABHD16B	   nan	   nan	   nan
ABHD17A_-_1885483.23-P1P2|ABHD17A_+_1885470.23-P1P2	ABHD17A	   nan	   nan	   nan
ABHD17B_+_74526089.23-P1P2|ABHD17B_+_74525862.23-P1P2	ABHD17B	   nan	   nan	   nan
ABHD17C_+_80987703.23-P1P2|ABHD17C_+_80987662.23-P1P2	ABHD17C	   nan	   nan	   nan
ABHD1_-_27346733.23-P1P2|ABHD1_+_27346724.23-P1P2	ABHD1	   nan	   nan	   nan
ABHD2_-_89631760.23-P1P2|ABHD2_-_89631738.23-P1P2	ABHD2	   nan	   nan	   nan
ABHD3_-_19284770.23-P1P2|ABHD3_+_19284534.23-P1P2	ABHD3	   nan	   nan	   nan
ABHD4_-_23067199.23-P1P2|ABHD4_+_23067144.23-P1P2	ABHD4	   nan	   nan	   nan
ABHD5_-_43732464.23-P1P2|ABHD5_-_43732422.23-P1P2	ABHD5	   nan	   nan	   nan
ABHD6_+_58223718.23-P1P2|ABHD6_-_58223594.23-P1P2	ABHD6	   nan	   nan	   nan
ABHD8_-_17414201.23-P1P2|ABHD8_-_17414169.23-P1P2	ABHD8	   nan	   nan	   nan
ABI1_-_27149837.23-P1P2|ABI1_-_27149855.23-P1P2	ABI1	   nan	   nan	   nan
ABI2_-_204193288.23-P1P2|ABI2_+_204193079.23-P1P2	ABI2	   nan	   nan	   nan
ABI3BP_-_100712220.23-P1P2|ABI3BP_-_100712267.23-P1P2	ABI3BP	   nan	   nan	   nan
ABI3_-_47288028.23-P1P2|ABI3_+_47287798.23-P1P2	ABI3	   nan	   nan	   nan
ABL1_-_133589228.23-ENST00000372348.2|ABL1_-_133589216.23-ENST00000372348.2	ABL1	   nan	   nan	   nan
ABL2_+_179111875.23-P1|ABL2_-_179112151.23-P1	ABL2	   nan	   nan	   nan
