sgrna	X1	X2
ZIK1_+_58095767.23-P1P2|ZIK1_+_58095711.23-P1P2	1.000000e+00	1.046428e+00
SLC12A7_+_1111744.23-P1P2|SLC12A7_-_1112081.23-P1P2	1.000000e+00	1.108603e+00
FRRS1_-_100231704.23-P1P2|FRRS1_-_100231714.23-P1P2	1.000000e+00	1.678299e+00
FAM171A1_-_15413040.23-P1P2|FAM171A1_-_15413102.23-P1P2	1.000000e+00	1.045612e+00
GLMN_+_92764515.23-P1P2|GLMN_-_92764279.23-P1P2	1.000000e+00	1.440381e+00
LTBP2_+_75078877.23-P1P2|LTBP2_-_75078927.23-P1P2	1.000000e+00	1.125807e+00
TUBA3E_+_130956000.23-P1P2|TUBA3E_+_130956018.23-P1P2	1.000000e+00	1.473738e+00
SUFU_+_104263799.23-P1P2|SUFU_-_104263756.23-P1P2	1.000000e+00	1.046604e+00
STAR_+_38008254.23-P1P2|STAR_+_38008243.23-P1P2	1.000000e+00	1.116030e+00
GAREML_-_26396067.23-P2|GAREML_+_26396176.23-P2	6.676973e-01	5.076394e-01
GAREML_-_26407959.23-P1|GAREML_+_26407949.23-P1	1.332303e+00	1.936978e+00
WDR92_-_68384628.23-P1P2|WDR92_-_68384657.23-P1P2	1.000000e+00	1.388610e+00
C15orf56_-_40545105.23-P1P2|C15orf56_+_40545146.23-P1P2	1.000000e+00	1.120296e+00
RASD1_-_17399684.23-P1P2|RASD1_-_17399340.23-P1P2	1.000000e+00	1.513070e+00
SMLR1_+_131148618.23-P1P2|SMLR1_+_131148631.23-P1P2	1.000000e+00	1.457754e+00
EIF4A1_-_7476155.23-P1P2|EIF4A1_+_7476226.23-P1P2	1.000000e+00	1.250153e+00
TMEM127_+_96931644.23-P1P2|TMEM127_+_96931705.23-P1P2	1.000000e+00	1.057403e+00
DNM2_-_10828821.23-P1P2|DNM2_+_10828788.23-P1P2	1.000000e+00	1.180401e+00
SPAG9_+_49198209.23-P1P2|SPAG9_-_49198117.23-P1P2	1.000000e+00	1.120725e+00
DDOST_+_20987846.23-P1P2|DDOST_-_20987605.23-P1P2	1.000000e+00	1.421387e+00
CHKB_+_51020783.23-P1P2|CHKB_-_51020899.23-P1P2	1.000000e+00	1.165029e+00
HNRNPDL_-_83350544.23-P1P2|HNRNPDL_+_83350206.23-P1P2	1.000000e+00	1.185471e+00
PPP2R2A_-_26149133.23-P1P2|PPP2R2A_+_26149078.23-P1P2	1.000000e+00	1.159338e+00
