gRNA	gene	S1	S2	S3
ABCB5_+_20687051.23-P1P2|ABCB5_+_20687242.23-P1P2	ABCB5	-6.533616e-01	5.531339e-01	1.018823e+00
ABCB6_-_220083604.23-P1P2|ABCB6_+_220083613.23-P1P2	ABCB6	-1.403935e+00	-8.192214e-01	-1.942588e+00
ABCB7_-_74376019.23-P1P2|ABCB7_+_74375885.23-P1P2	ABCB7	-9.788841e-01	-9.987366e-01	1.360233e+00
ABCB8_-_150725551.23-P1P2|ABCB8_-_150725580.23-P1P2	ABCB8	1.057338e+00	1.200569e+00	7.692108e-02
ABCB9_+_123450970.23-P1|ABCB9_-_123450999.23-P1	ABCB9	-1.342478e-01	-5.897664e-02	-3.898425e-02
ABCB9_-_123465699.23-P2|ABCB9_-_123465738.23-P2	ABCB9	-2.862576e-01	3.124910e-01	5.030032e-01
ABCC10_+_43395315.23-P1P2|ABCC10_-_43395343.23-P1P2	ABCC10	-6.925963e-01	9.372037e-01	5.874064e-01
ABCC11_+_48281428.23-P2|ABCC11_+_48281345.23-P2	ABCC11	-7.366084e-01	-3.939220e-01	-5.226356e-01
ABCC11_-_48278125.23-P1|ABCC11_+_48278130.23-P1	ABCC11	6.701045e-02	1.029253e+00	1.710637e+00
ABCC12_-_48180643.23-ENST00000311303.3|ABCC12_-_48180648.23-ENST00000311303.3	ABCC12	-1.052437e+00	-5.715147e-01	-4.530807e-01
ABCC1_+_16043647.23-P1P2|ABCC1_+_16043482.23-P1P2	ABCC1	6.501139e-02	-9.008259e-02	-1.236729e-01
ABCC2_+_101542981.23-P1P2|ABCC2_-_101542705.23-P1P2	ABCC2	-6.716843e-01	-3.736048e-01	-2.298583e-01
ABCC3_+_48712270.23-P1P2|ABCC3_+_48712248.23-P1P2	ABCC3	1.212289e-02	-4.484704e-01	-2.530697e-01
ABCC4_+_95953430.23-P1P2|ABCC4_+_95953641.23-P1P2	ABCC4	-2.786630e-01	-2.005811e-01	-6.260292e-02
ABCC5_-_183735467.23-P1P2|ABCC5_+_183735648.23-P1P2	ABCC5	1.716441e-01	5.095693e-01	-4.246197e-01
ABCC6_-_16317247.23-ENST00000205557.7|ABCC6_-_16317344.23-ENST00000205557.7	ABCC6	-1.135610e-01	-4.239219e-02	4.877752e-02
ABCC8_+_17498387.23-P1P2|ABCC8_+_17498394.23-P1P2	ABCC8	2.543223e-01	8.592591e-01	1.316980e-01
ABCC9_+_22094309.23-P1P2|ABCC9_+_22094148.23-P1P2	ABCC9	2.213791e+00	1.134021e-01	-5.633610e-02
ABCD1_-_152990338.23-P1P2|ABCD1_-_152990342.23-P1P2	ABCD1	-4.617639e-01	-4.915612e-01	-3.629559e-01
ABCD2_+_40013594.23-P1P2|ABCD2_-_40013610.23-P1P2	ABCD2	-5.595969e-02	8.926515e-02	-5.203575e-01
ABCD3_+_94884002.23-P1P2|ABCD3_+_94884032.23-P1P2	ABCD3	-9.780135e-01	1.590717e-01	1.772128e-01
ABCD4_+_74769611.23-P1P2|ABCD4_-_74769729.23-P1P2	ABCD4	5.449841e-03	-7.484753e-01	-6.797253e-01
ABCE1_-_146019502.23-P1P2|ABCE1_-_146019516.23-P1P2	ABCE1	-4.590744e-02	2.773794e+00	-1.202145e-01
ABCF1_+_30539238.23-P1|ABCF1_+_30539469.23-P1	ABCF1	-4.458964e-01	-5.779699e-01	-7.991755e-02
ABCF1_-_30546354.23-P2|ABCF1_-_30546344.23-P2	ABCF1	-8.719249e-01	-7.863650e-01	3.305051e-02
ABCF2_+_150924287.23-P1P2|ABCF2_+_150924236.23-P1P2	ABCF2	-4.100123e-01	-3.047902e-01	-6.449922e-01
ABCF3_-_183903991.23-P1P2|ABCF3_-_183904021.23-P1P2	ABCF3	-8.091447e-01	-1.387965e+00	-2.691981e-01
ABCG1_-_43639282.23-P1P2|ABCG1_+_43639503.23-P1P2	ABCG1	-5.395203e-01	-1.872564e+00	2.842741e-01
ABCG2_+_89080044.23-P1P2|ABCG2_+_89079974.23-P1P2	ABCG2	5.914122e-01	7.341461e-01	-1.426539e-01
ABCG4_+_119019794.23-P1P2|ABCG4_-_119019798.23-P1P2	ABCG4	-3.514449e-01	-6.661404e-02	6.626447e-01
ABCG5_+_44065865.23-P1P2|ABCG5_-_44065840.23-P1P2	ABCG5	-8.137603e-01	1.249130e-01	1.010200e+00
ABCG8_+_44066166.23-P1P2|ABCG8_-_44066172.23-P1P2	ABCG8	-5.069434e-01	3.541957e-01	1.873301e-01
ABHD10_-_111697914.23-P1P2|ABHD10_-_111697877.23-P1P2	ABHD10	-1.052495e+00	-2.492155e-01	-2.934542e-01
ABHD11_-_73153094.23-P1P2|ABHD11_+_73152963.23-P1P2	ABHD11	2.039997e-01	-6.949695e-01	-6.609734e-01
ABHD12B_-_51338864.23-P1P2|ABHD12B_-_51338885.23-P1P2	ABHD12B	1.262456e-01	-4.071565e-01	-1.945066e-01
