sgRNA	Gene	s1_l1_rep1	s2_l2_rep2	s3_l3_rep3	s1_h1_rep1	s2_h2_rep2	s3_h3_rep3
RNF113B_+_98829486.23-P1P2|RNF113B_+_98829321.23-P1P2	RNF113B	3114.9	2763.9	4000.8	2307.8	2029.1	3204.5
MTM1_+_149737106.23-P1P2|MTM1_-_149737096.23-P1P2	MTM1	4654.7	2598.1	3392.4	3887.2	5162.8	4236.5
STK32A_-_146614653.23-P1P2|STK32A_+_146614702.23-P1P2	STK32A	4006.9	6431.1	5349.8	3938.1	5139.7	4276.9
ARHGAP1_+_46722124.23-P1P2|ARHGAP1_+_46722099.23-P1P2	ARHGAP1	2678.7	4230.8	2793.7	4646.8	3555.6	3125.8
MRPS16_+_75012360.23-P1P2|MRPS16_-_75012367.23-P1P2	MRPS16	190.14	614.65	341.82	808.41	593.75	403.57
EYA1_+_72268949.23-P1|EYA1_+_72268946.23-P1	EYA1	2410.3	2220.2	3708.4	3219.1	3115.2	2052.4
CXorf57_-_105855208.23-P1P2|CXorf57_+_105855251.23-P1P2	CXorf57	6171.1	7034.6	5802.3	7444	4895.3	7327.7
IL13RA1_-_117861596.23-P1P2|IL13RA1_-_117861613.23-P1P2	IL13RA1	5617.5	8616.2	5196.1	7149.9	6718.1	6075.7
ZNF727_+_63505892.23-P1P2|ZNF727_+_63505897.23-P1P2	ZNF727	2844.6	3770	3306.4	2474.1	1604.9	2563.6
MAP3K3_-_61699810.23-P1P2|MAP3K3_-_61699829.23-P1P2	MAP3K3	6177.6	5508.7	6010.9	5312.8	4520.6	4870.7
C17orf103_-_21156689.23-P1P2|C17orf103_-_21156733.23-P1P2	C17orf103	4641.6	5185.8	5577.7	4131.4	3420.7	7168.2
POLR2J3_+_102184048.23-ENST00000379357.5|POLR2J3_+_102184055.23-ENST00000379357.5	POLR2J3	3419.7	2914.6	2214.3	3692.9	3093.3	4467.1
PRND_-_4702593.23-P1P2|PRND_-_4702615.23-P1P2	PRND	267.5	6247.7	4052.4	4978.3	6492.1	4762.1
TNK2_-_195603595.23-P1|TNK2_+_195603579.23-P1	TNK2	3364.7	3656.8	3487	4342.3	4691.2	2381.1
NFIA_+_61548485.23-P1P2|NFIA_-_61548230.23-P1P2	NFIA	1987.1	1045.9	1790.8	1188.7	2224	1126.2
KIF25_+_168431501.23-P1P2|KIF25_+_168431157.23-P1P2	KIF25	828.6	513.4	1031.9	751.26	428.89	310.37
non-targeting_02416|non-targeting_03463	CTRLGENE	3791.6	4403.8	3567.6	4444.2	5143.2	4685.3
ASUN_-_27090898.23-P1P2|ASUN_+_27090863.23-P1P2	ASUN	1688.9	1627.1	3932	2556.1	1913.8	2272.5
CAPN1_-_64949451.23-P1P2|CAPN1_+_64949419.23-P1P2	CAPN1	19.573	786.85	659.99	680.6	1015.7	1103.1
CCDC126_+_23637070.23-P1P2|CCDC126_+_23637081.23-P1P2	CCDC126	6250.4	6824.9	6031.3	3955.8	5087.8	6310.1
NFATC4_-_24837416.23-P1P2|NFATC4_-_24837405.23-P1P2	NFATC4	3464.4	2518.4	4009.4	4037.9	4442.2	4316.3
CALM1_+_90863405.23-P1P2|CALM1_-_90863396.23-P1P2	CALM1	5802	6205.5	6679.5	5214.1	5047.5	4817.9
BZRAP1_+_56406114.23-P1P2|BZRAP1_-_56406128.23-P1P2	BZRAP1	1988.1	2153.3	413.84	876.99	1352.4	1696
DMRT1_+_841762.23-P1P2|DMRT1_+_841744.23-P1P2	DMRT1	2783.1	1407.1	2086.4	2071.9	2738.2	3612.9
PARP15_-_122296517.23-P1P2|PARP15_-_122296715.23-P1P2	PARP15	4644.4	7407.7	5563.7	6283.3	4471	68.223
IL5RA_-_3151668.23-P1P2|IL5RA_-_3151642.23-P1P2	IL5RA	3897.8	3435.2	3539.7	4124.1	4400.7	4564.2
GTSF1L_-_42355522.23-P1P2|GTSF1L_-_42355565.23-P1P2	GTSF1L	4064.7	3705.4	2492.7	4293.5	2823.5	2592.5
ZNF98_-_22604884.23-P1P2|ZNF98_-_22605127.23-P1P2	ZNF98	3669.5	3622.5	4413.6	4352.7	5500.6	4546.9
ZSWIM8_-_75545415.23-P1P2|ZSWIM8_-_75545350.23-P1P2	ZSWIM8	3474.7	4807.2	5057.4	3795.8	3081.8	4095.3
PDZD3_-_119056223.23-P1P2|PDZD3_-_119056206.23-P1P2	PDZD3	2783.1	1085	2285.2	2968.7	3062.2	2146.6
RUNX1T1_+_93107439.23-P2|RUNX1T1_+_93107392.23-P2	RUNX1T1	2441	2846	2052	2606	3148.6	3365
RNFT2_-_117176129.23-P1P2|RNFT2_-_117176124.23-P1P2	RNFT2	4867.2	4149.5	3833.1	3213.9	3485.3	648.6
EVI5L_-_7895125.23-P1P2|EVI5L_-_7895119.23-P1P2	EVI5L	5724.7	4858.2	6282.8	4455.6	4616.3	5403
non-targeting_02357|non-targeting_02156	CTRLGENE	2423.3	1576.1	1641.4	2215.3	1956.5	2420.5
LEMD1_+_205419044.23-P1P2|LEMD1_+_205419095.23-P1P2	LEMD1	4951.1	7600.6	5543.3	5682.8	7457.1	6633
SIRT4_-_120740181.23-P1P2|SIRT4_-_120740153.23-P1P2	SIRT4	5089	6335.4	6678.4	6842.4	4939.1	5166.7
HDLBP_-_242255047.23-P2|HDLBP_+_242254845.23-P2	HDLBP	3515.7	3202.4	2583	2159.2	2386.5	4560.4
QDPR_+_17513624.23-P1P2|QDPR_-_17513476.23-P1P2	QDPR	8195.5	8192.9	7807	6854.8	8784.1	5666.3
PIBF1_+_73356310.23-P1P2|PIBF1_+_73356350.23-P1P2	PIBF1	1455.9	1073.8	1433.9	1968	1717.8	2487.7
CPT1A_-_68609315.23-P1P2|CPT1A_-_68609263.23-P1P2	CPT1A	8048.3	6761.9	5055.3	6983.7	4716.6	5552.9
PGS1_-_76374755.23-P1P2|PGS1_+_76374776.23-P1P2	PGS1	2848.4	3142.6	601.95	3615	2575.6	3661
C6orf25_-_31691210.23-P1P2|C6orf25_-_31691219.23-P1P2	C6orf25	3895.1	5044.7	4259.8	3998.4	2859.2	3312.2
FKRP_-_47249503.23-P1P2|FKRP_-_47249331.23-P1P2	FKRP	2246.2	1722.8	2928	1759.2	2922.6	3025.8
IFNGR2_-_34775787.23-P1P2|IFNGR2_-_34775775.23-P1P2	IFNGR2	5954.9	4220.4	4860.7	4466	5876.4	6711.8
non-targeting_01279|non-targeting_02614	CTRLGENE	3473.8	2571	3868.6	2092.7	2901.9	2623.2
non-targeting_01586|non-targeting_02844	CTRLGENE	3519.4	3012.7	3361.2	4023.3	6041.3	4197.1
C10orf137_+_127408343.23-P1P2|C10orf137_+_127408303.23-P1P2	C10orf137	3710.5	3656	4091.1	5226.6	4329.2	4591.1
GOLGA4_+_37284774.23-P1P2|GOLGA4_+_37284749.23-P1P2	GOLGA4	5961.4	4013.9	4753.2	5756.5	5898.3	5011
FAHD2B_-_97760566.23-P1P2|FAHD2B_-_97760608.23-P1P2	FAHD2B	1569.6	2348.6	2259.4	2373.3	1210.6	1581.6
GLUD1_-_88854542.23-P1P2|GLUD1_-_88854545.23-P1P2	GLUD1	2073.8	2103	1953.1	1595	1426.2	1070.4
PLVAP_+_17488110.23-P1|PLVAP_+_17488114.23-P1	PLVAP	3870.8	2009	3120.4	3923.6	4622.1	3181.5
KIAA1257_-_128712900.23-P1P2|KIAA1257_-_128712865.23-P1P2	KIAA1257	3916.5	3910.3	5166	3903.8	5689.7	4821.7
FOXF1_+_86544168.23-P1P2|FOXF1_+_86544171.23-P1P2	FOXF1	3482.2	2727.3	2776.5	2859.6	3531.4	4226.9
CXorf48_+_134305212.23-P1P2|CXorf48_+_134304852.23-P1P2	CXorf48	5577.4	4657.3	7058.9	4925.3	4260	4487.3
FAM188B2_+_150612069.23-ENST00000397891.3|FAM188B2_-_150612030.23-ENST00000397891.3	FAM188B2	2648.9	3603.4	3740.7	3340.7	2236.7	2737.6
ASCC1_-_73975994.23-P1P2|ASCC1_-_73975670.23-P1P2	ASCC1	2305.9	3756.4	2423.9	1798.7	1721.3	1630.6
NFE2L1_-_46126183.23-P1P2|NFE2L1_-_46125746.23-P1P2	NFE2L1	3356.3	3701.4	1676.9	3346.9	1804.3	2522.3
COMMD6_-_76111919.23-P1|COMMD6_+_76111934.23-P1	COMMD6	3263.1	2852.4	3090.3	2457.4	3888.8	4197.1
SPOCK3_+_168155611.23-P1P2|SPOCK3_-_168155434.23-P1P2	SPOCK3	5274.5	6734	5549.7	6636.6	7960.9	4981.2
MX2_-_42742043.23-P2|MX2_-_42742048.23-P2	MX2	2335.7	1656.6	2314.3	2583.2	3412.6	2999.9
SLIT1_-_98945519.23-P1P2|SLIT1_+_98945525.23-P1P2	SLIT1	2896.8	1801.7	2202.5	3429	1215.2	1534.5
non-targeting_02446|non-targeting_00513	CTRLGENE	4223.1	4648.5	6016.2	3658.6	5100.5	2262.9
LMBR1L_+_49504429.23-P1P2|LMBR1L_+_49504232.23-P1P2	LMBR1L	1338.4	1145.6	887.87	1618.9	1015.7	1856.4
MIER1_+_67390982.23-P1|MIER1_-_67391062.23-P1	MIER1	2332	3726.2	4231.9	1931.7	3461.1	2845.2
C22orf24_+_32341323.23-P1P2|C22orf24_+_32341074.23-P1P2	C22orf24	3624.8	3533.2	4491	4493	5323	3631.2
DMXL1_-_118407444.23-P1P2|DMXL1_-_118407121.23-P1P2	DMXL1	336.47	280.62	224.65	108.06	506.13	531.37
GOT1L1_+_37797643.23-P1P2|GOT1L1_+_37797587.23-P1P2	GOT1L1	4884.9	4055.4	4769.4	5772.1	5983.6	4415.3
BRIX1_-_34916034.23-P1P2|BRIX1_-_34915874.23-P1P2	BRIX1	65.244	0	2.1498	1.0391	155.64	0
"PTPN20A_-_46640626.23-ENST00000505814.1,ENST00000511769.1|PTPN20A_+_46640606.23-ENST00000505814.1,ENST00000511769.1"	PTPN20A	4262.3	4178.2	2708.8	3243	2987.2	4410.5
TUBA3E_+_130956000.23-P1P2|TUBA3E_+_130956018.23-P1P2	TUBA3E	4592.2	2986.3	2703.4	2202.9	3183.2	44.201
FBXL5_+_15656951.23-P1|FBXL5_+_15656956.23-P1	FBXL5	4390	4268.3	3835.3	3982.8	5700	5213.8
non-targeting_01542|non-targeting_01896	CTRLGENE	6310.9	6714.9	4762.9	5821	4375.3	5149.4
ZNF416_-_58090220.23-P1P2|ZNF416_+_58090180.23-P1P2	ZNF416	5008.9	5595.6	3729.9	6607.5	6026.3	6037.2
EPGN_+_75174198.23-P1P2|EPGN_+_75174201.23-P1P2	EPGN	3651.8	2790.2	3110.8	5015.7	3326.2	3910.8
GABARAP_-_7145696.23-P1P2|GABARAP_-_7145749.23-P1P2	GABARAP	3718.9	4766.5	4241.6	2612.3	4316.5	3299.7
POMC_+_25391433.23-P1P2|POMC_+_25391359.23-P1P2	POMC	6585	6216.6	5612.1	6177.4	7368.3	7955.2
CRNN_-_152386717.23-P1P2|CRNN_-_152386704.23-P1P2	CRNN	3362.8	4794.4	4032	4286.2	3115.2	2943.2
SLC17A3_+_25874438.23-P1P2|SLC17A3_+_25874428.23-P1P2	SLC17A3	1550	2799.8	2183.1	1328	1519.5	2022.7
FUOM_-_135171476.23-P1P2|FUOM_+_135171494.23-P1P2	FUOM	4253	5148.4	4084.6	2932.3	3536	3310.2
MXD3_-_176738882.23-P1P2|MXD3_-_176738835.23-P1P2	MXD3	7316.6	6286.8	6002.3	8056	6642	7444.9
KMT2D_+_49426871.23-P1P2|KMT2D_+_49426876.23-P1P2	KMT2D	2804.5	3314.8	2545.4	4416.1	1723.6	2047.6
AIMP1_+_107237731.23-P1P2|AIMP1_+_107237742.23-P1P2	AIMP1	4808.5	3825	4002.9	4230.1	6199.2	4915.9
HIST3H2BB_+_228645838.23-P1P2|HIST3H2BB_+_228645843.23-P1P2	HIST3H2BB	1600.3	2325.5	2320.7	2989.4	3005.7	4132.8
GPATCH8_+_42580734.23-P1P2|GPATCH8_+_42580358.23-P1P2	GPATCH8	5167.3	4994.5	5195	3745.9	4657.8	4123.2
CTSA_-_44520008.23-P1P2|CTSA_-_44520150.23-P1P2	CTSA	4261.3	4784.1	5042.4	5042.7	5786.5	6974.1
"MAGEA3_+_151938169.23-ENST00000370278.3,ENST00000393902.3|MAGEA3_+_151937987.23-ENST00000370278.3,ENST00000393902.3"	MAGEA3	4159.8	4152.7	4576.9	6386.2	4727	5090.8
IRF8_-_85932833.23-P1P2|IRF8_-_85932792.23-P1P2	IRF8	7279.3	7805.5	8195.1	7211.3	9651.1	9102.4
DEFB106B_-_7343743.23-ENST00000335479.2|DEFB106B_-_7343892.23-ENST00000335479.2	DEFB106B	6982	7757.6	6070	6844.5	10296	8205
CDC45_+_19467483.23-P1P2|CDC45_+_19467480.23-P1P2	CDC45	1.8641	129.15	0	115.34	0	0
NDUFV2_+_9102636.23-P1P2|NDUFV2_+_9102739.23-P1P2	NDUFV2	1.8641	89.287	0	0	0	0
EDARADD_-_236558758.23-P2|EDARADD_-_236558755.23-P2	EDARADD	2929.4	1983.5	2630.3	3361.4	3106	3875.2
PIP5K1C_+_3700444.23-P1P2|PIP5K1C_+_3700441.23-P1P2	PIP5K1C	5144	5579.7	4724.2	3750.1	4103.2	5083.1
ACTR3C_+_150020638.23-P1P2|ACTR3C_+_150020641.23-P1P2	ACTR3C	3142.9	2705.7	2642.1	3571.3	3375.7	3447.6
non-targeting_01681|non-targeting_03130	CTRLGENE	2976	1930.8	2163.8	2823.2	2914.6	2063
C5orf24_+_134181678.23-P1P2|C5orf24_-_134181671.23-P1P2	C5orf24	2849.3	2706.5	2835.6	3691.9	2075.3	1944.8
MAGI3_+_113933190.23-P1P2|MAGI3_+_113933168.23-P1P2	MAGI3	4486.9	5050.3	3492.4	4145.9	3518.7	2902.8
KLF2_+_16435686.23-P1P2|KLF2_+_16436011.23-P1P2	KLF2	6854.3	5501.5	7512.5	5644.3	4676.2	6447.5
DACT3_+_47164225.23-P1P2|DACT3_+_47164213.23-P1P2	DACT3	1596.6	1560.9	1536	896.73	1625.6	1006
RIPK2_+_90770141.23-P1P2|RIPK2_+_90770127.23-P1P2	RIPK2	67.108	105.23	142.96	335.62	185.62	239.26
LZTFL1_-_45883559.23-P1P2|LZTFL1_-_45883566.23-P1P2	LZTFL1	4136.5	3963.7	4382.4	3209.7	4531	2928.8
HSPB3_-_53751567.23-P1P2|HSPB3_+_53751554.23-P1P2	HSPB3	4614.6	6268.5	3964.2	4955.4	6179.6	5596.2
"C1orf228_+_45140288.23-ENST00000458657.2,ENST00000535358.1|C1orf228_-_45140469.23-ENST00000458657.2,ENST00000535358.1"	C1orf228	4527	4587.1	3126.9	2945.8	3975.3	3555.3
DNASE2_+_12992016.23-P1P2|DNASE2_-_12992254.23-P1P2	DNASE2	3239.8	4430.9	3520.3	4371.4	3787.3	4523.8
RNASE3_-_21359811.23-P1P2|RNASE3_+_21359982.23-P1P2	RNASE3	2578.1	3117.1	3648.2	5131	3915.3	3806.1
SLITRK5_-_88326349.23-P2|SLITRK5_-_88326666.23-P2	SLITRK5	3155.9	2640.4	1885.4	2233	3690.5	3371.7
CHMP5_+_33265229.23-P1P2|CHMP5_-_33265093.23-P1P2	CHMP5	3430.9	2702.5	3206.4	3271	1204.8	2396.4
CHRM1_+_62688793.23-P1P2|CHRM1_+_62688777.23-P1P2	CHRM1	2182.9	3051.7	2559.3	1998.2	1840.1	1526.8
RELL1_+_37687969.23-P1P2|RELL1_-_37687977.23-P1P2	RELL1	142.6	19.93	159.09	476.94	299.76	122.03
LRWD1_-_102105440.23-P1P2|LRWD1_+_102105444.23-P1P2	LRWD1	2908	2535.1	2038	2783.7	3870.3	3250.7
RNF141_-_10562561.23-P1P2|RNF141_-_10562697.23-P1P2	RNF141	6920.5	6479.7	6173.2	5306.6	4021.4	5430
TM4SF5_+_4675199.23-P1P2|TM4SF5_-_4675176.23-P1P2	TM4SF5	5566.2	5366.8	5269.2	4776.7	3947.6	4304.8
ZNF235_+_44809125.23-P1P2|ZNF235_+_44809145.23-P1P2	ZNF235	1402.7	1129.6	2787.2	2053.2	1926.5	974.34
ASAP1_-_131455906.23-P1P2|ASAP1_-_131455861.23-P1P2	ASAP1	8193.7	6840.1	7191.1	8430.1	7392.5	10042
MUS81_+_65628068.23-P1P2|MUS81_-_65628100.23-P1P2	MUS81	3326.5	3538.8	1787.6	2501.1	3184.4	2057.3
LILRB4_-_55177297.23-P2|LILRB4_-_55177364.23-P2	LILRB4	6168.3	6669.4	6067.8	3816.6	5025.6	5308.9
SLC25A39_-_42402136.23-P1|SLC25A39_+_42402139.23-P1	SLC25A39	10944	13264	10027	9398.5	11121	8928.5
CORO7_-_4466143.23-P1P2|CORO7_-_4466535.23-P1P2	CORO7	9007.4	10011	10070	10871	8537.4	7507.4
MPZ_-_161279702.23-P1|MPZ_-_161279731.23-P1	MPZ	3701.2	1589.6	2513.1	3741.7	3224.7	3101.7
COLEC11_-_3642762.23-P1|COLEC11_+_3642733.23-P1	COLEC11	2996.6	2986.3	3824.5	3015.4	2215.9	1981.3
SYNPO2_+_119810081.23-ENST00000307142.4|SYNPO2_+_119809982.23-ENST00000307142.4	SYNPO2	3461.6	2306.3	3183.9	3168.2	4169	3989.6
KLK5_-_51456223.23-P1P2|KLK5_+_51456365.23-P1P2	KLK5	3568.8	3255.8	3436.5	2597.7	3956.8	1696.9
TMEM92_-_48351848.23-P1P2|TMEM92_-_48351805.23-P1P2	TMEM92	3933.3	2697	3176.3	4969.9	3981	3065.2
APOBEC3D_-_39410336.23-P1P2|APOBEC3D_-_39410342.23-P1P2	APOBEC3D	8167.6	12182	10998	8881.1	9450.5	11320
TRPC5OS_+_111125464.23-P1P2|TRPC5OS_-_111125480.23-P1P2	TRPC5OS	2521.2	2937.7	2670.1	1935.8	3032.2	1681.5
DEFB118_+_29956420.23-P1P2|DEFB118_-_29956602.23-P1P2	DEFB118	5852.4	5109.3	5908.7	4742.4	5461.4	4382.6
LRRC17_-_102553463.23-P1P2|LRRC17_-_102553681.23-P1P2	LRRC17	4332.2	4892.5	3492.4	3854	3385	3071.9
IGFALS_-_1843630.23-P1P2|IGFALS_+_1843720.23-P1P2	IGFALS	4612.7	5955.1	4662.9	3678.4	5694.3	3523.6
CA6_+_9005952.23-P1P2|CA6_+_9005970.23-P1P2	CA6	6275.5	4045.8	5961.4	3995.3	5094.7	4840.9
H2BFM_+_103294517.23-P1P2|H2BFM_-_103294594.23-P1P2	H2BFM	4051.6	6942.9	7862.9	6138.9	5728.9	4894.7
TCEB3B_-_44561925.23-P1P2|TCEB3B_+_44561979.23-P1P2	TCEB3B	3003.1	4250.7	3202.1	2159.2	2394.6	2864.4
PLK2_+_57755864.23-P1|PLK2_+_57755850.23-P1	PLK2	4829.9	5288.7	6128	5428.2	4237	4125.1
ADAM11_+_42836787.23-P1P2|ADAM11_-_42836572.23-P1P2	ADAM11	5081.6	5743.9	4919.8	5990.3	6749.2	6111.2
TTC39C_-_21595138.23-P1P2|TTC39C_+_21595201.23-P1P2	TTC39C	3044.1	2352.6	3477.3	2115.6	2317.4	2258.1
HTR3A_+_113848233.23-P2|HTR3A_-_113848445.23-P2	HTR3A	5763.8	4741	3021.6	4879.5	3583.3	3748.4
SFTPA2_+_81320153.23-P1P2|SFTPA2_+_81320020.23-P1P2	SFTPA2	1535.1	1480.4	1984.3	987.13	822.03	1699.8
TTLL9_-_30467652.23-P1|TTLL9_+_30467667.23-P1	TTLL9	4213.8	3525.3	3277.4	4687.3	4374.2	4242.3
HMGN5_-_80457535.23-ENST00000358130.2|HMGN5_+_80457488.23-ENST00000358130.2	HMGN5	2541.7	2921	3991.1	3689.8	4281.9	3129.6
OR52K2_-_4470546.23-ENST00000325719.4|OR52K2_-_4470549.23-ENST00000325719.4	OR52K2	4383.4	4310.5	2877.5	3954.8	5253.9	5654.8
PPP2R2D_-_133753721.23-P1P2|PPP2R2D_-_133753844.23-P1P2	PPP2R2D	1648.8	2853.2	1938.1	3150.5	2557.2	983.94
KRT75_-_52828093.23-P1P2|KRT75_-_52828123.23-P1P2	KRT75	6244.8	5245.6	6097.9	4663.4	7230	7792.8
AQP11_-_77301026.23-P1P2|AQP11_-_77301023.23-P1P2	AQP11	2216.4	1600	2439	1552.4	1079.1	2889.4
RBKS_-_28113758.23-P1P2|RBKS_-_28113696.23-P1P2	RBKS	1656.3	1867.1	1878.9	1260.4	2146.7	474.68
MYOZ3_+_150040882.23-P1P2|MYOZ3_+_150040892.23-P1P2	MYOZ3	1338.4	1037.2	2274.5	1847.5	1408.9	2374.3
MUC7_-_71337946.23-P1|MUC7_-_71337951.23-P1	MUC7	850.03	1548.2	1079.2	1533.7	2016.5	1464.4
SMIM14_+_39640467.23-P1P2|SMIM14_+_39640244.23-P1P2	SMIM14	8225.4	8605.1	7930.6	7537.5	10313	9550.2
PRTN3_+_841033.23-P1|PRTN3_+_841028.23-P1	PRTN3	6137.6	6730	5049.9	6143.1	9548.5	7272.9
MSANTD1_+_3250946.23-P1P2|MSANTD1_+_3250943.23-P1P2	MSANTD1	3277.1	2621.2	4037.3	3264.8	4092.9	4342.2
GSTA3_+_52774271.23-P1P2|GSTA3_-_52774456.23-P1P2	GSTA3	2535.2	1814.4	2267	3732.4	2938.8	2265.8
PACSIN2_+_43411099.23-P1P2|PACSIN2_+_43411127.23-P1P2	PACSIN2	4930.6	5857.9	5485.2	5325.3	6635	6555.1
TRIM39-RPP21_-_30297501.23-P1P2|TRIM39-RPP21_+_30297318.23-P1P2	TRIM39-RPP21	3672.3	4111.2	2810.9	4829.7	3453	4538.3
FUT8_+_65879536.23-P1P2|FUT8_+_65879731.23-P1P2	FUT8	7670.8	8805.2	5421.8	6176.3	7455.9	6394.7
SELK_+_53925829.23-P1P2|SELK_+_53925855.23-P1P2	SELK	3730.1	2381.3	4013.7	2857.5	2884.6	2685.7
non-targeting_02358|non-targeting_00822	CTRLGENE	1077.5	1636.7	1519.9	2063.6	1526.5	2109.1
HLA-DRA_+_32410476.23-P2|HLA-DRA_+_32410464.23-P2	HLA-DRA	5174.8	4092.1	5047.8	6679.2	5622.8	6070.9
SBSPON_-_74005345.23-P1P2|SBSPON_-_74005364.23-P1P2	SBSPON	4286.5	6021.3	4787.6	5782.5	6033.2	3868.5
non-targeting_03552|non-targeting_01537	CTRLGENE	689.72	621.82	704.06	89.361	334.35	563.08
EFCAB6_-_44208125.23-P1P2|EFCAB6_-_44207963.23-P1P2	EFCAB6	7554.3	8736.6	4877.9	6289.6	6047.1	8761.3
ISY1-RAB43_+_128879732.23-P1P2|ISY1-RAB43_+_128879726.23-P1P2	ISY1-RAB43	277.75	525.36	879.27	399.01	222.51	182.57
ZNF439_+_11959576.23-P1P2|ZNF439_+_11959582.23-P1P2	ZNF439	4345.2	5190.6	4653.3	5632.9	6128.9	5395.4
NUDT22_-_63993811.23-P1P2|NUDT22_+_63993801.23-P1P2	NUDT22	4147.6	6675	5734.6	5283.7	3348.1	4641.1
INIP_-_115480278.23-P1P2|INIP_-_115480357.23-P1P2	INIP	1726.2	1420.6	2104.7	3133.9	2033.7	2307.1
HENMT1_+_109203678.23-P1P2|HENMT1_+_109203704.23-P1P2	HENMT1	4874.6	6192.7	6373.1	5054.1	6787.2	4821.7
EPB41L1_-_34742904.23-P1P2|EPB41L1_+_34742651.23-P1P2	EPB41L1	3115.9	3062.1	1833.8	2276.6	2757.8	1650.8
RGS14_+_176798180.23-P2|RGS14_-_176798213.23-P2	RGS14	1804.5	3125.9	1931.6	1101.4	1315.5	1801.7
non-targeting_00247|non-targeting_00113	CTRLGENE	2755.1	2374.9	2730.3	3469.5	2142.1	4213.5
CEACAM7_-_42191920.23-P1P2|CEACAM7_-_42192086.23-P1P2	CEACAM7	3889.5	2848.4	4047	2189.4	2998.7	3313.1
BID_+_18257195.23-P1P2|BID_-_18257161.23-P1P2	BID	4678	4943.5	4553.3	5363.8	6399.9	5659.6
ERCC3_-_128051699.23-P1P2|ERCC3_+_128051692.23-P1P2	ERCC3	200.39	740.61	275.18	257.69	713.66	495.82
LMNB1_+_126112906.23-P1P2|LMNB1_+_126113141.23-P1P2	LMNB1	5700.4	3679.1	4199.7	5126.8	2270.1	5412.7
SH2D6_-_85645892.23-P1P2|SH2D6_+_85645883.23-P1P2	SH2D6	3079.5	3747.7	2415.3	4551.2	3866.9	3738.8
MORN3_+_122110505.23-P1P2|MORN3_+_122110483.23-P1P2	MORN3	3032	4654.1	3828.8	1955.6	2945.7	3179.6
SLC25A23_+_6459757.23-P1P2|SLC25A23_+_6459769.23-P1P2	SLC25A23	8395.9	6562.6	10776	6915.1	7060.5	8614.3
MAGEC2_+_141293035.23-P1P2|MAGEC2_+_141292999.23-P1P2	MAGEC2	1770	1373.6	1718.8	1139.9	1731.7	888.82
CD200R1_-_112693695.23-P1P2|CD200R1_-_112693792.23-P1P2	CD200R1	1107.3	1010.1	1462.9	648.39	451.94	1018.5
MMP20_-_102495982.23-ENST00000260228.2|MMP20_-_102495976.23-ENST00000260228.2	MMP20	3239.8	3698.3	3531.1	6050.6	4200.1	4376.8
WISP1_+_134203371.23-P1P2|WISP1_+_134203323.23-P1P2	WISP1	5501.9	5388.3	4385.6	3878.9	5735.8	4331.7
SCARB1_-_125348396.23-P1P2|SCARB1_-_125348377.23-P1P2	SCARB1	12848	10144	12691	8325.1	11032	12339
GALNT10_+_153570312.23-P1P2|GALNT10_-_153570330.23-P1P2	GALNT10	16522	14865	15050	15718	19778	16864
PRLHR_+_120355107.23-P1P2|PRLHR_-_120355074.23-P1P2	PRLHR	8674.6	8578.8	10209	7317.2	9901.3	7209.5
POMT1_+_134378377.23-P1P2|POMT1_-_134378347.23-P1P2	POMT1	4610.9	3920.7	5318.6	6192.9	4873.4	5583.7
PTGS1_+_125133327.23-P1P2|PTGS1_+_125133368.23-P1P2	PTGS1	4508.3	5413	8224.1	5179.8	6635	6471.5
PHLDB2_-_111578160.23-P1P2|PHLDB2_+_111578173.23-P1P2	PHLDB2	3931.4	4800.8	5544.4	3807.2	3752.8	5572.2
C3orf30_-_118865029.23-P1P2|C3orf30_+_118865045.23-P1P2	C3orf30	4193.3	3947	2060.6	3739.7	2590.6	3050.8
C7orf66_-_108524351.23-ENST00000379007.2|C7orf66_-_108524570.23-ENST00000379007.2	C7orf66	2063.6	1413.5	2050.9	1416.3	3559.1	1362.5
RGPD3_+_107084762.23-P1P2|RGPD3_+_107084831.23-P1P2	RGPD3	3773	3426.4	2415.3	5311.8	4257.7	3057.5
HPN_+_35540222.23-P2|HPN_+_35540217.23-P2	HPN	705.56	775.68	676.11	1067.1	486.53	1395.2
PIK3C2G_-_18414511.23-P1P2|PIK3C2G_+_18414917.23-P1P2	PIK3C2G	1906	2098.3	1020.1	1295.7	1719	1115.6
FYCO1_-_46037275.23-P1P2|FYCO1_-_46037113.23-P1P2	FYCO1	4574.5	4350.4	4393.1	4649.9	6081.6	5340.6
F12_+_176836533.23-P1|F12_+_176836521.23-P1	F12	5010.7	6482.9	3949.2	3995.3	4555.2	3535.1
ZNF267_-_31895905.23-P2|ZNF267_+_31895959.23-P2	ZNF267	2810.1	3122.7	1713.4	1839.2	2061.4	2859.6
FAM47A_+_34150436.23-P1P2|FAM47A_-_34150202.23-P1P2	FAM47A	3053.4	2414.7	2308.9	3105.8	3058.7	4088.6
AP2M1_-_183892660.23-P1|AP2M1_-_183892679.23-P1	AP2M1	4603.4	4168.6	5078.9	6488	4599	5574.1
ABRA_+_107782422.23-P1P2|ABRA_+_107782407.23-P1P2	ABRA	2862.3	2852.4	1572.6	3606.7	2024.5	3778.2
CMTM2_+_66620931.23-P2|CMTM2_+_66620942.23-P2	CMTM2	3876.4	2852.4	4469.5	1456.8	4379.9	2990.3
