sgRNA	Gene	s1_l1_rep1	s2_l2_rep2	s3_l3_rep3	s1_h1_rep1	s2_h2_rep2	s3_h3_rep3
ECEL1_+_233351222.23-P1P2|ECEL1_+_233351211.23-P1P2	ECEL1	14401	12332	9640.8	46118	45711	43683
YAE1D1_+_39606256.23-P1P2|YAE1D1_-_39606026.23-P1P2	YAE1D1	521.02	17.539	144.04	3292.9	3343.5	3450.5
RPS19_-_42364369.23-P1P2|RPS19_+_42364314.23-P1P2	RPS19	0.93205	0	0	0	298.61	207.55
ANKRD11_+_89556932.23-P1P2|ANKRD11_-_89556765.23-P1P2	ANKRD11	960.02	624.21	785.76	6864.2	10419	8574
VPS54_+_64246129.23-P1P2|VPS54_+_64246255.23-P1P2	VPS54	1.8641	3.1888	5.3745	127.81	443.87	431.44
GANAB_+_62414038.23-P1P2|GANAB_+_62414027.23-P1P2	GANAB	2944.4	2850	3512.8	20010	18546	16668
PMPCA_-_139305175.23-P1P2|PMPCA_-_139305149.23-P1P2	PMPCA	85.749	0	1.0749	355.37	1.1529	242.14
SLC9B2_+_103997877.23-P1P2|SLC9B2_-_103997777.23-P1P2	SLC9B2	216.24	0.79721	1.0749	0	403.52	242.14
ANXA4_-_69969324.23-P1P2|ANXA4_+_69969241.23-P1P2	ANXA4	249.79	0.79721	1.0749	242.11	1.1529	558.27
URB1_+_33765254.23-P1P2|URB1_+_33764965.23-P1P2	URB1	53.127	2.3916	5.3745	1201.2	562.62	297.87
ANAPC1_-_112641691.23-P1P2|ANAPC1_-_112641707.23-P1P2	ANAPC1	60.583	0.79721	1.0749	1.0391	281.31	239.26
CPSF1_+_145634685.23-P1P2|CPSF1_-_145634704.23-P1P2	CPSF1	197.6	0.79721	0	184.96	710.2	203.71
LIPT1_+_99771478.23-P1P2|LIPT1_-_99771495.23-P1P2	LIPT1	15.845	0	1.0749	320.04	152.19	238.3
AGPAT4_+_161694832.23-P1P2|AGPAT4_-_161695108.23-P1P2	AGPAT4	632.86	706.33	468.66	8139.2	7386.8	7414.2
SBF1_+_50913422.23-P1P2|SBF1_+_50913049.23-P1P2	SBF1	785.72	1055.5	949.14	9306	8643.4	10195
C11orf45_-_128775878.23-P2|C11orf45_+_128775346.23-P2	C11orf45	0	0.79721	0	227.56	1.1529	200.82
TMEM74_+_109799801.23-P1P2|TMEM74_+_109799811.23-P1P2	TMEM74	3927.7	4100.8	3693.4	21467	23665	18974
IDH1_+_209119140.23-P1P2|IDH1_+_209119762.23-P1P2	IDH1	145.4	3.1888	5.3745	334.59	631.8	546.74
SETD2_-_47205192.23-P1P2|SETD2_-_47205071.23-P1P2	SETD2	370.03	270.25	857.77	5387.7	6703.1	5032.1
SDHA_-_218477.23-P1P2|SDHA_+_218895.23-P1P2	SDHA	3.7282	0	1.0749	166.25	255.95	230.61
ALAS1_+_52232365.23-P1P2|ALAS1_-_52232170.23-P1P2	ALAS1	315.97	7.9721	153.71	3094.4	3262.8	3268
PJA1_-_68384865.23-P1P2|PJA1_+_68384833.23-P1P2	PJA1	1.8641	2.3916	33.322	348.09	134.89	510.23
RBM48_+_92158174.23-P1P2|RBM48_-_92158122.23-P1P2	RBM48	205.05	293.37	733.08	3309.5	4632.4	5725.9
LSG1_-_194392885.23-P1P2|LSG1_+_194392901.23-P1P2	LSG1	569.48	328.45	262.28	2769.2	5108.6	4894.7
POLR1D_-_28195369.23-P2|POLR1D_+_28194901.23-P2	POLR1D	0	3.986	1.0749	224.44	149.88	372.82
STX18_+_4543702.23-P1P2|STX18_+_4543725.23-P1P2	STX18	165.91	5.5805	5.3745	535.13	552.25	460.26
FXR2_+_7518141.23-P1P2|FXR2_-_7517992.23-P1P2	FXR2	2829.7	2039.3	3248.4	17335	16873	14772
CHRNB1_-_7348525.23-P1P2|CHRNB1_-_7348808.23-P1P2	CHRNB1	58.719	0	1.0749	220.29	287.08	121.07
MBTPS1_-_84150406.23-P1P2|MBTPS1_-_84150360.23-P1P2	MBTPS1	11.185	1152	341.82	5036.4	4893	4008.8
CPSF4_-_99036611.23-P1P2|CPSF4_-_99036577.23-P1P2	CPSF4	201.32	2.3916	3.2247	344.98	724.03	392.04
AP3D1_-_2151147.23-P1P2|AP3D1_-_2151563.23-P1P2	AP3D1	0	149.08	1.0749	204.7	219.05	222.92
LRR1_+_50065858.23-P1P2|LRR1_-_50065670.23-P1P2	LRR1	0.93205	0	4.2996	202.62	229.43	0
TRNAU1AP_-_28879658.23-P1P2|TRNAU1AP_-_28879612.23-P1P2	TRNAU1AP	41.01	2.3916	3.2247	1079.6	167.17	390.12
CCDC174_-_14693290.23-P1P2|CCDC174_-_14693310.23-P1P2	CCDC174	0	0	0	0	183.31	448.73
HEATR5B_-_37311427.23-P1P2|HEATR5B_-_37311277.23-P1P2	HEATR5B	68.972	291.78	13.974	1800.7	4134.4	1978.5
SMG5_+_156252585.23-P1P2|SMG5_-_156252584.23-P1P2	SMG5	429.68	321.28	446.09	5457.3	5423.3	5415.5
PLEKHA5_-_19282857.23-P1P2|PLEKHA5_-_19282803.23-P1P2	PLEKHA5	0	0.79721	3.2247	181.84	306.68	172
